date,tic,open,high,low,close,volume,macd,macds,macdh,macd.1,macd_signal,macd_hist,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_20,ema_26,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60,ema_100,ema_200,sma_5,sma_10,sma_15,sma_20,sma_30,sma_50,sma_60,sma_100,sma_200,wma_10,wma_20,wma_30,dema_10,dema_20,dema_30,tema_10,tema_20,tema_30,trix,trix_signal,rsi_6,rsi_9,rsi_12,rsi_14,rsi_21,rsi_24,cci_14,cci_20,roc_12,roc_25,mom_10,mom_14,mom_20,willr_14,willr_21,stoch_k_9,stoch_d_9,stoch_j_9,stoch_k_14,stoch_d_14,stoch_j_14,uo,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,bb_upper_50,bb_lower_50,bb_width_50,bb_pct_50,atr_7,atr_14,atr_21,std_10,std_20,std_30,kc_upper,kc_lower,dc_upper,dc_lower,dc_middle,obv,vol_ma_5,vol_ma_10,vol_ma_20,vol_ratio,mfi,ad_line,vwap,cmf,adx,pos_di,neg_di,aroon_up,aroon_down,aroon_osc,pivot,r1,r2,s1,s2,sar,price_change,price_change_pct,true_range,typical_price,median_price,weighted_close,intraday_intensity
2025-07-14,AAPL,209.93,210.91,207.54,208.62,38840100,2.47,1.82,0.66,2.47,1.82,0.66,209.99,210.19,209.65,209.11,208.56,207.81,206.83,206.08,205.79,205.61,205.61,205.74,205.98,206.69,210.22,213.68,210.67,210.23,207.18,204.79,203.7,203.86,203.89,210.45,222.72,210.66,207.73,205.69,211.63,209.88,207.39,211.58,212.21,210.95,0.13,0.05,24.97,59.46,65.37,64.0,62.55,55.02,24.14,53.25,3.5,3.98,7.54,7.12,9.42,-44.84,-35.96,24.58,57.4,-41.06,55.16,68.69,28.08,49.35,216.91,192.67,11.83,0.66,215.07,192.66,10.99,0.71,3.85,4.19,3.91,2.51,6.06,5.23,215.21,198.45,216.23,195.07,205.65,1851773000,42929560.0,53847610.0,54370010.0,0.71,63.86,3956315561.45,166.46,0.08,35.96,26.47,14.05,80.0,36.0,44.0,211.05,212.24,213.32,209.97,208.78,216.23,-2.54,-1.2,3.62,209.02,209.22,208.92,-13945555.19
2025-07-15,AAPL,209.22,211.89,208.92,209.11,42296300,2.33,1.92,0.41,2.33,1.92,0.41,209.55,209.83,209.53,209.11,208.64,207.97,207.05,206.31,206.01,205.81,205.78,205.89,206.11,206.77,210.2,213.64,210.49,210.62,207.69,205.42,203.98,203.78,204.14,210.09,222.63,210.45,208.14,206.04,211.17,210.0,207.7,210.75,212.03,211.12,0.14,0.07,43.77,54.01,67.72,67.83,62.62,58.55,34.04,58.42,4.03,2.55,3.94,8.81,12.66,-41.96,-33.65,20.98,38.56,-14.19,58.04,61.28,51.57,46.24,217.02,193.83,11.29,0.66,214.75,192.8,10.77,0.74,3.92,4.19,3.95,1.84,5.8,5.29,215.43,198.66,216.23,195.07,205.65,1894069300,42819040.0,48885960.0,53912460.0,0.78,63.39,3919430909.26,166.48,0.08,37.74,26.19,14.04,76.0,32.0,44.0,209.02,210.51,212.39,207.14,205.65,216.06,0.49,0.23,3.27,209.97,210.4,209.76,-36884652.19
2025-07-16,AAPL,210.3,212.4,208.64,210.16,47490500,2.28,1.99,0.29,2.28,1.99,0.29,209.86,209.94,209.67,209.3,208.88,208.24,207.35,206.59,206.27,206.05,205.99,206.07,206.27,206.88,210.2,213.6,210.29,210.86,208.35,206.01,204.26,203.87,204.36,209.73,222.55,210.37,208.59,206.44,211.14,210.28,208.11,210.62,212.11,211.44,0.15,0.08,50.97,40.88,69.03,67.55,68.25,58.39,36.33,57.94,4.52,4.32,2.34,8.6,11.74,-35.77,-28.69,32.63,26.06,45.77,64.23,59.14,74.41,51.11,217.29,194.73,10.96,0.68,214.99,192.76,10.9,0.78,3.39,4.22,3.91,1.58,5.64,5.39,215.79,198.91,216.23,195.07,205.65,1941559800,42567260.0,45756120.0,54135950.0,0.88,63.86,3910336983.73,166.51,0.04,38.6,26.49,13.95,72.0,28.0,44.0,209.97,211.03,212.94,208.06,207.0,215.89,1.05,0.5,3.76,210.4,210.52,210.34,-9093925.53
2025-07-17,AAPL,210.57,211.8,209.59,210.02,48068100,2.2,2.03,0.17,2.2,2.03,0.17,209.94,209.97,209.75,209.43,209.05,208.46,207.6,206.85,206.52,206.27,206.19,206.25,206.41,206.98,210.2,213.57,209.81,210.61,208.91,206.73,204.49,204.1,204.64,209.38,222.46,210.22,208.98,206.81,211.04,210.49,208.46,210.43,212.09,211.68,0.15,0.1,41.69,34.69,62.18,68.73,66.23,63.75,30.52,53.82,2.36,3.63,-2.42,9.02,14.38,-36.59,-29.35,31.08,28.23,36.77,63.41,61.89,66.43,49.13,217.02,196.44,9.96,0.66,215.25,192.94,10.93,0.77,3.28,4.15,3.91,1.49,5.15,5.49,215.9,199.3,216.23,195.07,205.65,1893491700,43292160.0,43768750.0,54596545.0,0.88,70.37,3880974117.21,166.53,0.04,40.22,26.93,12.18,68.0,24.0,44.0,210.4,212.16,214.16,208.4,206.64,215.72,-0.14,-0.07,2.21,210.47,210.7,210.36,-29362866.52
2025-07-18,AAPL,210.87,211.79,209.7,211.18,48974600,2.21,2.07,0.14,2.21,2.07,0.14,210.56,210.37,210.07,209.75,209.38,208.8,207.94,207.17,206.82,206.54,206.43,206.46,206.6,207.12,210.22,213.54,209.82,210.38,209.59,207.46,204.76,204.35,204.83,209.02,222.38,210.32,209.4,207.24,211.33,210.86,208.92,210.8,212.34,212.07,0.15,0.11,40.72,56.77,59.12,70.07,72.77,64.39,35.15,55.7,1.62,6.24,-2.37,10.1,14.6,-29.76,-23.87,63.26,42.32,105.13,70.24,65.96,78.81,45.58,216.74,198.18,8.95,0.7,215.56,193.14,10.97,0.8,2.99,4.07,3.85,1.11,4.64,5.61,216.08,199.8,216.23,196.86,206.54,1942466300,45133920.0,45170630.0,54775540.0,0.89,69.5,3901360673.19,166.56,0.05,41.53,26.45,12.43,64.0,20.0,44.0,210.47,211.35,212.68,209.14,208.26,215.56,1.16,0.55,2.09,210.89,210.74,210.96,20386555.98
2025-07-21,AAPL,212.1,215.78,211.63,212.48,51377400,2.29,2.11,0.18,2.29,2.11,0.18,211.52,211.07,210.6,210.25,209.86,209.26,208.37,207.56,207.18,206.87,206.73,206.72,206.83,207.3,210.26,213.53,210.59,210.63,210.35,208.03,205.16,204.68,204.96,208.67,222.27,210.7,209.88,207.74,211.94,211.41,209.49,211.61,212.85,212.63,0.16,0.12,59.88,61.96,50.13,66.34,73.06,69.95,147.69,91.23,0.02,6.67,2.53,7.31,11.48,-37.17,-19.36,61.45,51.93,80.49,62.83,65.49,57.52,40.16,217.05,199.02,8.67,0.75,215.87,193.48,10.94,0.85,3.16,3.82,3.95,1.28,4.51,5.73,216.01,200.74,216.23,198.96,207.6,1993843700,47641380.0,45285470.0,52503735.0,0.98,67.86,3871029437.05,166.58,-0.04,42.78,27.86,13.25,60.0,16.0,44.0,210.89,212.08,212.98,209.99,208.8,207.54,1.3,0.62,4.6,213.3,213.7,213.09,-30331236.14
2025-07-22,AAPL,213.14,214.95,212.23,214.4,46404100,2.49,2.19,0.3,2.49,2.19,0.3,212.96,212.18,211.45,211.0,210.56,209.91,208.95,208.07,207.65,207.29,207.1,207.06,207.13,207.53,210.34,213.54,211.65,211.07,210.96,208.68,205.51,205.01,205.06,208.41,222.21,211.39,210.48,208.34,213.01,212.21,210.24,212.99,213.73,213.45,0.16,0.13,97.69,64.66,52.67,65.2,70.95,69.92,151.93,98.27,0.4,9.14,4.39,6.58,12.9,-20.31,-10.6,83.25,69.32,111.12,79.69,70.92,97.22,42.67,217.57,199.79,8.52,0.82,216.34,193.68,11.05,0.91,3.18,3.65,3.84,1.72,4.45,5.97,216.25,201.64,216.23,199.26,207.74,2040247800,48462940.0,45640990.0,52033225.0,0.89,66.35,3898667173.08,166.61,-0.05,42.58,23.64,13.84,56.0,12.0,44.0,213.3,214.96,217.45,210.81,209.15,207.7,1.92,0.9,2.72,213.86,213.59,214.0,27637736.03
2025-07-23,AAPL,215.0,215.15,212.41,214.15,46989300,2.59,2.27,0.32,2.59,2.27,0.32,213.55,212.84,212.05,211.57,211.11,210.44,209.44,208.52,208.07,207.67,207.45,207.36,207.4,207.75,210.42,213.55,212.45,211.37,211.39,209.37,205.93,205.33,205.14,208.18,222.15,211.95,211.01,208.89,213.68,212.85,210.89,213.75,214.34,214.1,0.17,0.14,93.3,58.61,66.72,54.95,69.93,74.62,121.5,98.14,2.0,7.93,3.01,1.71,13.85,-23.09,-12.26,80.22,74.97,90.71,76.91,73.15,84.45,44.84,217.65,201.09,7.91,0.79,216.79,193.87,11.16,0.89,3.06,3.46,3.81,1.98,4.14,6.12,216.35,202.53,216.23,199.26,207.74,1993258500,48362700.0,45464980.0,51679490.0,0.91,65.27,3911357713.95,166.64,0.01,39.8,18.9,14.64,52.0,8.0,44.0,213.86,215.49,216.58,212.77,211.14,207.87,-0.25,-0.12,2.74,213.9,213.78,213.96,12690540.88
2025-07-24,AAPL,213.9,215.69,213.53,213.76,46022600,2.61,2.34,0.27,2.61,2.34,0.27,213.66,213.15,212.43,211.97,211.52,210.85,209.85,208.91,208.43,208.01,207.75,207.64,207.65,207.94,210.49,213.55,213.19,211.5,211.47,209.98,206.3,205.39,205.2,207.9,222.09,212.38,211.42,209.4,214.02,213.3,211.42,214.03,214.7,214.57,0.17,0.14,84.88,64.07,64.55,50.63,71.77,73.19,130.94,108.7,1.79,9.26,1.35,0.21,12.2,-27.41,-14.56,75.49,79.65,67.15,72.59,76.4,64.96,44.52,217.61,202.35,7.27,0.75,216.99,193.78,11.3,0.86,2.9,3.41,3.76,2.1,3.82,6.25,216.67,203.04,216.23,199.26,207.74,1947235900,47953600.0,45622880.0,52004335.0,0.88,65.88,3875136223.21,166.66,-0.01,36.0,17.55,14.85,48.0,4.0,44.0,213.9,215.4,216.64,212.66,211.16,208.02,-0.39,-0.18,2.16,214.33,214.61,214.18,-36221490.74
2025-07-25,AAPL,214.7,215.24,213.4,213.88,40268800,2.6,2.39,0.21,2.6,2.39,0.21,213.77,213.39,212.75,212.32,211.88,211.23,210.24,209.28,208.79,208.34,208.05,207.91,207.9,208.14,210.55,213.55,213.73,211.78,211.5,210.62,206.8,205.4,205.25,207.66,222.03,212.81,211.8,209.89,214.28,213.71,211.9,214.22,214.98,214.98,0.18,0.15,87.55,88.56,61.53,65.03,70.69,69.67,101.31,103.73,1.3,8.8,2.72,3.93,12.88,-22.2,-13.85,73.39,76.36,67.44,77.8,75.77,81.88,45.25,217.16,204.09,6.21,0.75,217.06,193.75,11.35,0.86,2.62,3.01,3.69,2.22,3.27,6.23,216.25,204.22,216.23,199.26,207.74,1987504700,46212440.0,45673180.0,51477820.0,0.78,66.87,3855877231.91,166.68,-0.02,34.62,19.88,9.98,44.0,0.0,44.0,214.33,215.12,216.49,212.96,212.17,208.18,0.12,0.06,1.84,214.17,214.32,214.1,-19258991.3
2025-07-28,AAPL,214.03,214.85,213.06,214.05,37858000,2.58,2.43,0.16,2.58,2.43,0.16,213.91,213.61,213.04,212.63,212.21,211.58,210.6,209.63,209.13,208.65,208.35,208.18,208.14,208.33,210.62,213.56,214.05,212.32,211.77,211.27,207.3,205.44,205.27,207.44,221.99,213.23,212.12,210.35,214.5,214.07,212.36,214.36,215.22,215.35,0.18,0.16,84.58,88.0,57.61,65.33,72.2,69.36,80.03,94.77,0.77,6.49,5.43,4.04,12.97,-20.21,-12.85,75.77,74.88,77.55,79.79,76.73,85.92,47.49,216.2,206.35,4.66,0.78,217.19,193.69,11.44,0.87,2.56,2.92,3.62,2.02,2.46,6.19,216.44,204.76,216.23,199.26,207.74,2025362700,43508560.0,45574970.0,49711290.0,0.76,67.32,3859895678.84,166.71,0.0,33.42,20.46,10.24,40.0,0.0,40.0,214.17,214.95,216.01,213.11,212.33,208.33,0.17,0.08,1.79,213.99,213.96,214.0,4018446.93
2025-07-29,AAPL,214.18,214.81,210.82,211.27,51411700,2.32,2.41,-0.09,2.32,2.41,-0.09,212.59,212.83,212.65,212.39,212.07,211.54,210.66,209.75,209.26,208.8,208.49,208.32,208.26,208.43,210.63,213.54,213.42,212.54,211.85,211.58,207.79,205.44,205.24,207.2,221.92,213.04,212.12,210.61,213.71,213.86,212.42,213.15,214.66,215.14,0.18,0.16,39.25,56.74,50.45,50.44,65.88,66.14,7.77,25.45,0.05,4.85,2.16,0.13,6.1,-54.73,-29.23,27.14,58.77,-36.11,45.27,67.62,0.56,39.53,215.58,207.58,3.78,0.46,217.18,193.69,11.43,0.75,2.83,2.91,3.66,1.74,2.0,5.88,216.49,204.84,216.23,206.14,211.18,1973951000,44510080.0,46486510.0,47686235.0,1.08,66.97,3820080602.9,166.73,-0.08,31.45,20.52,12.75,36.0,0.0,36.0,213.99,214.91,215.78,213.12,212.2,208.48,-2.78,-1.3,3.99,212.3,212.82,212.04,-39815075.94
2025-07-30,AAPL,211.9,212.39,207.72,209.05,45512500,1.91,2.31,-0.4,1.91,2.31,-0.4,210.82,211.57,211.85,211.78,211.6,211.23,210.51,209.7,209.25,208.81,208.52,208.35,208.29,208.45,210.6,213.49,212.4,212.42,211.71,211.64,208.15,205.39,205.3,206.93,221.81,212.4,211.88,210.69,212.36,213.26,212.19,211.31,213.58,214.53,0.17,0.16,4.89,45.3,51.79,39.35,56.42,60.72,-85.78,-90.29,0.21,4.37,-1.11,-3.36,1.23,-81.67,-71.16,16.5,39.8,-30.1,18.33,47.79,-40.61,38.32,215.43,207.85,3.58,0.16,217.06,193.72,11.37,0.66,2.84,3.0,3.49,1.93,1.89,5.61,216.51,204.51,216.23,207.22,211.72,1928438500,44214720.0,46288710.0,46022415.0,0.99,59.87,3800491711.03,166.76,-0.09,28.49,14.81,19.76,32.0,16.0,16.0,212.3,213.78,216.29,209.79,208.31,215.78,-2.22,-1.05,4.67,209.72,210.06,209.55,-19588891.86
2025-07-31,AAPL,208.49,209.84,207.16,207.57,80698400,1.44,2.13,-0.69,1.44,2.13,-0.69,209.19,210.24,210.9,211.01,210.98,210.77,210.23,209.54,209.14,208.74,208.47,208.31,208.26,208.42,210.54,213.43,211.16,212.18,211.39,211.4,208.55,205.37,205.44,206.62,221.71,211.52,211.49,210.65,210.87,212.47,211.79,209.4,212.29,213.71,0.16,0.16,4.05,33.02,44.07,38.79,49.57,59.16,-122.28,-137.57,-0.74,2.98,-2.45,-3.59,-4.87,-95.24,-95.48,4.76,16.13,-18.0,4.76,22.78,-31.3,32.27,215.57,207.22,3.95,0.04,217.01,193.72,11.34,0.59,2.84,3.01,3.38,2.37,2.09,5.09,216.25,204.21,216.23,207.16,211.7,1847740100,51149880.0,49551740.0,46660245.0,1.73,56.33,3744484612.52,166.8,-0.2,26.36,14.76,20.62,28.0,12.0,16.0,209.72,211.72,214.39,207.05,205.05,215.62,-1.48,-0.71,2.68,208.19,208.5,208.04,-56007098.51
2025-08-01,AAPL,210.87,213.58,201.5,202.38,104434500,0.65,1.84,-1.19,0.65,1.84,-1.19,205.79,207.62,209.0,209.44,209.66,209.72,209.48,209.01,208.71,208.39,208.17,208.06,208.03,208.22,210.38,213.32,208.86,211.3,210.81,210.84,208.74,205.28,205.51,206.37,221.58,209.74,210.63,210.26,208.04,210.83,210.77,205.81,209.87,212.03,0.14,0.16,2.42,15.22,27.28,33.28,33.02,51.59,-175.16,-197.75,-3.7,0.69,-8.8,-6.24,-11.17,-93.84,-94.03,6.2,9.15,0.3,6.16,9.75,-1.01,22.96,216.52,205.16,5.39,-0.24,216.95,193.61,11.37,0.38,4.17,3.61,3.69,3.91,2.84,4.72,216.71,202.25,216.23,201.5,208.86,1743305600,63983020.0,55097730.0,50134180.0,2.08,51.49,3655265735.04,166.84,-0.28,26.45,12.29,23.77,24.0,8.0,16.0,208.19,209.22,210.87,206.54,205.51,215.28,-5.19,-2.5,12.08,205.82,207.54,204.96,-89218877.48
2025-08-04,AAPL,204.51,207.88,201.68,203.35,75109300,0.1,1.49,-1.39,0.1,1.49,-1.39,204.57,206.2,207.75,208.34,208.69,208.93,208.9,208.59,208.36,208.11,207.94,207.85,207.85,208.06,210.24,213.22,206.72,210.39,210.45,210.51,208.82,205.3,205.63,206.19,221.44,208.29,209.92,209.91,206.28,209.59,209.97,203.93,208.12,210.72,0.12,0.15,8.9,9.29,31.42,34.95,32.7,47.6,-176.39,-208.66,-3.18,1.13,-9.13,-5.76,-6.6,-87.04,-87.44,13.04,8.0,23.12,12.96,7.96,22.95,24.55,217.1,203.91,6.26,-0.04,216.95,193.66,11.35,0.42,4.75,3.82,3.85,4.61,3.3,4.6,216.55,201.25,215.78,201.5,208.64,1818414900,71433280.0,57470920.0,51378195.0,1.46,43.96,3620618541.82,166.88,-0.27,27.1,9.79,22.47,20.0,4.0,16.0,205.82,210.14,217.9,198.06,193.74,214.45,0.97,0.48,6.2,204.3,204.78,204.06,-34647193.23
2025-08-05,AAPL,203.4,205.34,202.16,202.92,44155100,-0.37,1.12,-1.49,-0.37,1.12,-1.49,203.74,205.1,206.67,207.35,207.8,208.18,208.33,208.17,208.01,207.82,207.69,207.64,207.66,207.89,210.1,213.12,205.05,209.24,210.04,210.15,208.86,205.33,205.72,206.05,221.29,206.94,209.2,209.53,204.86,208.44,209.19,202.58,206.59,209.48,0.1,0.14,7.42,9.16,26.02,30.45,36.64,43.13,-153.34,-194.63,-3.91,-1.1,-11.48,-7.24,-7.09,-90.06,-90.06,10.01,9.75,10.52,9.94,9.69,10.46,24.22,217.57,202.74,7.06,0.01,216.95,193.72,11.31,0.4,4.94,3.78,3.65,4.92,3.71,4.53,215.89,200.76,215.78,201.5,208.64,1774259800,69981960.0,57246020.0,51443505.0,0.86,38.03,3597569024.21,166.9,-0.3,27.99,8.93,22.72,16.0,0.0,16.0,204.3,206.93,210.5,200.73,198.1,213.68,-0.43,-0.21,3.18,203.47,203.75,203.33,-23049517.61
2025-08-06,AAPL,205.63,215.38,205.59,213.25,108483100,0.09,0.91,-0.82,0.09,0.91,-0.82,208.5,207.82,208.14,208.42,208.64,208.81,208.8,208.55,208.35,208.12,207.96,207.88,207.87,208.07,210.16,213.12,205.89,209.15,210.25,210.26,209.3,205.69,205.96,206.09,221.19,207.67,209.49,209.81,207.27,209.32,209.77,206.49,208.02,210.27,0.08,0.13,54.8,48.92,51.47,55.63,54.43,50.98,15.26,21.42,0.36,2.61,-0.9,3.23,2.11,-17.72,-17.72,84.65,35.9,182.16,82.28,35.06,176.73,37.3,217.79,202.72,7.17,0.7,217.15,194.24,11.14,0.83,6.47,4.51,4.1,4.83,3.77,4.3,217.83,199.77,215.78,201.5,208.64,1882742900,82576080.0,63395400.0,54430190.0,1.99,42.6,3658847016.34,166.95,-0.27,26.03,23.37,19.03,12.0,88.0,-76.0,203.47,204.79,206.65,201.61,200.29,201.5,10.33,5.09,12.46,211.41,210.48,211.87,61277992.13
